service,patients_admitted,difference_in_adm,rank_indicator
emergency,15,-13.13,"Below Average"
ICU,15,-13.13,"Below Average"
emergency,15,-13.13,"Below Average"
emergency,15,-13.13,"Below Average"
emergency,15,-13.13,"Below Average"
surgery,15,-13.13,"Below Average"
emergency,15,-13.13,"Below Average"
ICU,15,-13.13,"Below Average"
ICU,14,-14.13,"Below Average"
ICU,14,-14.13,"Below Average"
ICU,14,-14.13,"Below Average"
ICU,14,-14.13,"Below Average"
ICU,13,-15.13,"Below Average"
ICU,13,-15.13,"Below Average"
ICU,13,-15.13,"Below Average"
ICU,13,-15.13,"Below Average"
ICU,13,-15.13,"Below Average"
ICU,12,-16.13,"Below Average"
ICU,12,-16.13,"Below Average"
ICU,12,-16.13,"Below Average"
ICU,12,-16.13,"Below Average"
ICU,12,-16.13,"Below Average"
ICU,12,-16.13,"Below Average"
ICU,12,-16.13,"Below Average"
ICU,11,-17.13,"Below Average"
ICU,11,-17.13,"Below Average"
ICU,11,-17.13,"Below Average"
ICU,11,-17.13,"Below Average"
ICU,11,-17.13,"Below Average"
ICU,10,-18.13,"Below Average"
ICU,10,-18.13,"Below Average"
ICU,10,-18.13,"Below Average"
ICU,10,-18.13,"Below Average"
ICU,9,-19.13,"Below Average"
ICU,9,-19.13,"Below Average"
ICU,9,-19.13,"Below Average"
ICU,8,-20.13,"Below Average"
ICU,8,-20.13,"Below Average"
ICU,8,-20.13,"Below Average"
ICU,8,-20.13,"Below Average"
ICU,7,-21.13,"Below Average"
ICU,7,-21.13,"Below Average"
ICU,7,-21.13,"Below Average"
ICU,6,-22.13,"Below Average"
ICU,6,-22.13,"Below Average"
ICU,5,-23.13,"Below Average"
ICU,5,-23.13,"Below Average"
